model_id,fom,variables,aic,null_aic,delta_aic,null_deviance,residual_dev,dev_explained,MCFaddenPseudoR2,spatial_auc,training_auc,test_auc,toc_auc
497,0.484052978,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_hid_lingue,predios_lingue1",1045.524602,1135.988787,-90.46418531,1122.878679,1033.524602,89.35407726,0.079575896,0.66791441,0.696947342,0.706917661,0.780827022
498,0.472796816,"bn_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_hid_lingue,dis_plant87_lingue,predios_lingue1",1045.624233,1135.988787,-90.36455484,1122.878679,1031.624233,91.25444678,0.081268305,0.669856838,0.686863268,0.686817672,0.916080968
499,0.472090144,"cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,predios_lingue1",1045.723506,1135.988787,-90.26528159,1122.878679,1035.723506,87.15517353,0.077617623,0.670526483,0.681857811,0.678247118,0.853252322
500,0.488638249,"cul_prad_lingue_87,dis_comunidades_lingue,pen_lingue15,predios_lingue1",1045.908058,1135.988787,-90.08072929,1122.878679,1035.908058,86.97062124,0.077453266,0.684996719,0.684924491,0.728242016,0.846239313
501,0.483877007,"bn_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_hid_lingue,dis_plant87_lingue",1046.065196,1135.988787,-89.92359167,1133.988787,1032.065196,101.9235917,0.089880599,0.683774248,0.706673203,0.7139,0.918179464
502,0.476886,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_hid_lingue,dis_plant87_lingue,predios_lingue1",1046.147576,1135.988787,-89.84121154,1122.878679,1032.147576,90.73110348,0.080802232,0.664130942,0.697886246,0.70523416,0.803609322
503,0.486939283,"bn_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,dis_plant87_lingue",1046.182897,1135.988787,-89.8058904,1133.988787,1030.182897,103.8058904,0.091540491,0.685299871,0.708693755,0.712425,0.924340788
504,0.480532257,"cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_hid_lingue,dis_plant87_lingue,predios_lingue1",1046.225671,1135.988787,-89.76311599,1122.878679,1032.225671,90.65300793,0.080732683,0.680520402,0.696270599,0.70342312,0.848915487
505,0.476221223,"cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,dis_plant87_lingue,predios_lingue1",1046.405917,1135.988787,-89.58287045,1122.878679,1030.405917,92.47276239,0.082353298,0.681324389,0.698349602,0.699214366,0.852226545
506,0.480758153,"bn_lingue_87,mat_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue",1046.684142,1135.988787,-89.30464519,1133.988787,1034.684142,99.30464519,0.0875711,0.676930089,0.697407356,0.685875,0.897487832
507,0.479854985,"bn_lingue_87,mat_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_plant87_lingue",1046.833632,1135.988787,-89.15515589,1133.988787,1034.833632,99.15515589,0.087439274,0.675148667,0.697006833,0.6837,0.907741769
508,0.482008739,"cul_prad_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1047.004991,1135.988787,-88.98379659,1122.878679,1031.004991,91.87368853,0.081819782,0.682378077,0.688405753,0.727476788,0.860943703
509,0.480393988,"bn_lingue_87,mat_lingue_87,dis_urbano_lingue",1047.152465,1135.988787,-88.83632269,1133.988787,1039.152465,94.83632269,0.083630741,0.673444713,0.691614708,0.68505,0.884593689
510,0.479633968,"bn_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue",1047.164685,1135.988787,-88.82410275,1133.988787,1037.164685,96.82410275,0.085383651,0.676624734,0.693222781,0.68645,0.920996626
511,0.476115831,"bn_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue",1047.176865,1135.988787,-88.81192203,1133.988787,1037.176865,96.81192203,0.085372909,0.676455419,0.693467877,0.688075,0.912044996
512,0.479031114,"bn_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_plant87_lingue",1047.221323,1135.988787,-88.76746484,1133.988787,1037.221323,96.76746484,0.085333705,0.674950886,0.692840191,0.686225,0.929648853
513,0.4833586,"cul_prad_lingue_87,dis_comunidades_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1047.370613,1135.988787,-88.61817455,1122.878679,1035.370613,87.50806649,0.077931898,0.682228929,0.683796587,0.727221712,0.858953826
514,0.490761582,"dis_comunidades_lingue,dis_urbano_lingue,predios_lingue1",1047.438478,1135.988787,-88.55030932,1122.878679,1039.438478,83.44020127,0.074309187,0.677664302,0.688253333,0.685899398,0.854322388
515,0.48391405,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,dis_hid_lingue,predios_lingue1",1047.453249,1135.988787,-88.53553866,1122.878679,1033.453249,89.42543061,0.079639441,0.667850373,0.697136342,0.705514743,0.781808779
516,0.488428578,"cul_prad_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,pen_lingue15,predios_lingue1",1047.470654,1135.988787,-88.51813349,1122.878679,1035.470654,87.40802543,0.077842804,0.683911476,0.683089361,0.727272727,0.848684027
517,0.497054962,"dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,predios_lingue1",1047.50391,1135.988787,-88.48487702,1122.878679,1037.50391,85.37476896,0.076032051,0.679727512,0.693185629,0.685644322,0.861650613
518,0.473600055,"cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,predios_lingue1",1047.509747,1135.988787,-88.47904063,1122.878679,1035.509747,87.36893257,0.07780799,0.670565169,0.681699295,0.677507397,0.854131841
519,0.484071503,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_hid_lingue,predios_lingue1",1047.524062,1135.988787,-88.46472548,1122.878679,1033.524062,89.35461743,0.079576377,0.667824554,0.696929052,0.706662585,0.77936566
520,0.470283239,"cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_plant87_lingue,predios_lingue1",1047.697425,1135.988787,-88.29136223,1122.878679,1035.697425,87.18125418,0.077640849,0.669824743,0.68163223,0.678068564,0.856146416
521,0.486906738,"mat_lingue_87,dis_comunidades_lingue,dis_urbano_lingue",1047.839587,1135.988787,-88.14920003,1133.988787,1039.839587,94.14920003,0.083024807,0.678974135,0.699942014,0.687875,0.836655982
522,0.473038608,"cul_prad_lingue_87,dis_urbano_lingue,predios_lingue1",1047.966422,1135.988787,-88.02236559,1122.878679,1039.966422,82.91225754,0.073839017,0.668225202,0.676949903,0.680083665,0.846355319
523,0.481930226,"mat_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue",1048.000606,1135.988787,-87.98818092,1133.988787,1038.000606,95.98818092,0.084646499,0.681049346,0.704491245,0.6872,0.84394872
524,0.470128698,"bn_lingue_87,dis_urbano_lingue",1048.079472,1135.988787,-87.90931562,1133.988787,1042.079472,91.90931562,0.081049581,0.673175054,0.687609471,0.685575,0.904980238
525,0.477271386,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,dis_hid_lingue,dis_plant87_lingue,predios_lingue1",1048.124981,1135.988787,-87.86380595,1122.878679,1032.124981,90.75369789,0.080822354,0.664126752,0.697685053,0.704137333,0.803861763
526,0.483432636,"bn_lingue_87,mat_lingue_87,dis_urbano_lingue,dis_hid_lingue",1048.133185,1135.988787,-87.85560231,1133.988787,1038.133185,95.85560231,0.084529586,0.674330678,0.692947794,0.6873,0.884754516
527,0.476973153,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_hid_lingue,dis_plant87_lingue,predios_lingue1",1048.146262,1135.988787,-87.84252555,1122.878679,1032.146262,90.73241749,0.080803402,0.664270216,0.697874053,0.705591266,0.806180294
528,0.479040315,"bn_lingue_87,mat_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,dis_plant87_lingue",1048.461866,1135.988787,-87.52692095,1133.988787,1034.461866,99.52692095,0.087767112,0.675175077,0.697126392,0.685225,0.906936587
